xmax,ymax,capacity,net_num,max_pin_num,net_size,data_path,lr,iter,num_experiment,pattern_level,z_step,max_z,use_pow,device,data_name,num_candidates,pool_generation_time,train_time,ilp_time,ilp_obj,best_cost,"overflow_cost, via_cost, wire_length_cost",worst_cost,lp_obj,best_continue_cost,p_generation_time,cost_inference_time,back_time,peak_gpu_memory (MB),peak_cpu_memory (MB)
65,67,1.0,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,0.8432062435895205,3.164166433736682,0,10000000000.0,0.0,0.0,20.350000381469727,2830.029541015625,0,10000000000.0,20.350000381469727,0.09155702404677868,0.5423633344471455,0.5288524534553289,64.140625,58.644341468811035
65,67,0.3,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test1,24154,0.8483998160809278,6.1830905713140965,0,10000000000.0,0.0,0.0,22.2237491607666,2919.891357421875,0,10000000000.0,22.2237491607666,0.17495504394173622,2.9659388083964586,0.6605116054415703,64.140625,58.62348175048828
216,201,0.3,36834,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test2.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test2,318698,11.847104381769896,7.213017076253891,0,10000000000.0,247.39988708496094,352.943115234375,336.18402099609375,55997.7265625,247.39988708496094,10000000000.0,627.3482666015625,0.1020579356700182,1.300542425364256,1.3970096241682768,1056.84521484375,698.4343566894531
619,613,1.0,72394,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test5.pt,0.2,100,1,3,2,10,2,10,1,False,cuda:0,ispd18_test5,903521,35.76226834394038,18.111225847154856,0,10000000000.0,0.0,119810.2421875,802.0611572265625,188327.859375,0,10000000000.0,120612.3046875,0.054662423208355904,3.9423477984964848,3.9049525950104,3392.19775390625,2033.0930099487305
65,67,0.5,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,1,2,10,2,10,1,False,cuda:0,ispd18_test1,14196,0.4183568302541971,5.056751821190119,0,10000000000.0,0.0,0.0,12.550000190734863,1686.23828125,0,10000000000.0,12.550000190734863,0.0490212831646204,2.5989744272083044,0.5063926409929991,27.2041015625,49.286742210388184
216,201,0.5,36834,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test2.pt,0.2,100,1,1,2,10,2,10,1,False,cuda:0,ispd18_test2,154021,3.9609625786542892,5.631074961274862,0,10000000000.0,0.5,52770.6796875,265.2200012207031,51928.0,0.5,10000000000.0,51945.5859375,0.1122271753847599,0.6011903528124094,0.595407996326685,328.5146484375,492.5118646621704
216,201,0.5,36834,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test2.pt,0.2,100,1,1,2,10,2,10,1,False,cuda:0,ispd18_test2,154021,3.7886653803288937,5.607426216825843,0,10000000000.0,1.0,52768.30859375,265.2200012207031,51928.0,1.0,10000000000.0,52789.359375,0.10482349619269371,0.5865152478218079,0.6094112079590559,328.5146484375,492.51001167297363
65,67,0.5,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,2,2,10,2,10,1,False,cuda:0,ispd18_test1,16286,0.4948732405900955,5.775839185342193,0,10000000000.0,0.0,0.0,19.84000015258789,2805.10009765625,0,10000000000.0,19.84000015258789,0.1762850433588028,2.799107313156128,0.6254187133163214,34.9189453125,63.07307720184326
65,67,0.5,3153,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test1.pt,0.2,100,1,3,2,10,2,10,1,True,cuda:0,ispd18_test1,24154,0.8215627279132605,3.1275183837860823,0,10000000000.0,0.0010534353787079453,0.002400788012892008,20.489999771118164,2837.95068359375,0.0010534353787079453,10000000000.0,20.492401123046875,0.09303061291575432,0.5691621396690607,0.5608637519180775,64.140625,69.7333631515503
619,613,0.5,72394,3,10,/home/scratch.rliang_hardware/wli1/cu-gr/run/ispd18_test5.pt,0.2,100,1,3,2,10,2,10,1,True,cuda:0,ispd18_test5,903521,36.01527601853013,16.19385378807783,0,10000000000.0,8449.31640625,8394.0322265625,948.0216674804688,198047.296875,8449.31640625,10000000000.0,9342.00390625,0.05417444556951523,4.13946171477437,3.776449816301465,3392.19775390625,2125.6022930145264
